Barcode,Difference
s_008um_00247_00288-1,0
s_008um_00467_00641-1,0
s_008um_00520_00528-1,0
s_008um_00256_00251-1,0
s_008um_00301_00674-1,0
s_008um_00112_00339-1,0
s_008um_00243_00401-1,0
s_008um_00309_00320-1,0
s_008um_00465_00146-1,0
s_008um_00072_00500-1,0
s_008um_00346_00716-1,0
s_008um_00487_00260-1,0
s_008um_00056_00406-1,0
s_008um_00089_00559-1,0
s_008um_00362_00814-1,0
s_008um_00210_00620-1,0
s_008um_00382_00474-1,0
s_008um_00200_00276-1,0
s_008um_00374_00265-1,0
s_008um_00185_00663-1,0
s_008um_00207_00291-1,0
s_008um_00368_00152-1,0
s_008um_00379_00307-1,0
s_008um_00527_00761-1,0
s_008um_00241_00541-1,0
s_008um_00426_00339-1,0
s_008um_00357_00591-1,0
s_008um_00098_00449-1,0
s_008um_00133_00493-1,0
s_008um_00487_00164-1,0
s_008um_00494_00167-1,0
s_008um_00422_00750-1,0
s_008um_00400_00210-1,0
s_008um_00226_00191-1,0
s_008um_00540_00704-1,0
s_008um_00081_00332-1,0
s_008um_00397_00206-1,0
s_008um_00478_00354-1,0
s_008um_00268_00792-1,0
s_008um_00234_00119-1,0
s_008um_00399_00805-1,0
s_008um_00506_00532-1,0
s_008um_00533_00243-1,0
s_008um_00464_00775-1,0
s_008um_00572_00401-1,0
s_008um_00515_00766-1,0
s_008um_00456_00123-1,0
s_008um_00100_00517-1,0
s_008um_00391_00760-1,0
s_008um_00485_00651-1,0
s_008um_00185_00680-1,0
s_008um_00374_00204-1,0
s_008um_00075_00431-1,0
s_008um_00293_00226-1,0
s_008um_00377_00310-1,0
s_008um_00587_00369-1,0
s_008um_00532_00609-1,0
s_008um_00154_00776-1,0
s_008um_00432_00583-1,0
s_008um_00373_00342-1,0
s_008um_00186_00703-1,0
s_008um_00255_00416-1,0
s_008um_00107_00477-1,0
s_008um_00076_00569-1,0
s_008um_00362_00584-1,0
s_008um_00542_00360-1,0
s_008um_00357_00466-1,0
s_008um_00392_00622-1,0
s_008um_00473_00365-1,0
s_008um_00313_00532-1,0
s_008um_00131_00279-1,0
s_008um_00485_00266-1,0
s_008um_00551_00713-1,0
s_008um_00356_00456-1,0
s_008um_00514_00638-1,0
s_008um_00198_00649-1,0
s_008um_00285_00117-1,0
s_008um_00419_00806-1,0
s_008um_00612_00530-1,0
s_008um_00353_00221-1,0
s_008um_00635_00419-1,0
s_008um_00248_00293-1,0
s_008um_00227_00722-1,0
s_008um_00224_00664-1,0
s_008um_00446_00511-1,0
s_008um_00408_00121-1,0
s_008um_00433_00487-1,0
s_008um_00349_00426-1,0
s_008um_00600_00333-1,0
s_008um_00410_00623-1,0
s_008um_00464_00658-1,0
s_008um_00193_00470-1,0
s_008um_00318_00591-1,0
s_008um_00227_00231-1,0
s_008um_00533_00694-1,0
s_008um_00256_00263-1,0
s_008um_00491_00153-1,0
s_008um_00597_00442-1,0
s_008um_00465_00608-1,0
s_008um_00380_00352-1,0
s_008um_00079_00397-1,0
s_008um_00055_00559-1,0
s_008um_00191_00769-1,0
s_008um_00255_00164-1,0
s_008um_00570_00505-1,0
s_008um_00306_00643-1,0
s_008um_00586_00589-1,0
s_008um_00527_00372-1,0
s_008um_00337_00361-1,0
s_008um_00296_00305-1,0
s_008um_00428_00787-1,0
s_008um_00496_00495-1,0
s_008um_00613_00413-1,0
s_008um_00123_00581-1,0
s_008um_00160_00417-1,0
s_008um_00366_00380-1,0
s_008um_00449_00374-1,0
s_008um_00337_00438-1,0
s_008um_00557_00440-1,0
s_008um_00353_00714-1,0
s_008um_00459_00265-1,0
s_008um_00315_00153-1,0
s_008um_00529_00764-1,0
s_008um_00322_00155-1,0
s_008um_00056_00464-1,0
s_008um_00439_00321-1,0
s_008um_00455_00661-1,0
s_008um_00269_00344-1,0
